price,bed_rooms,bath_rooms,sq_ft,lot_size,price_per_sq_ft,geo_distance_km,bed_to_bath_ratio,median_homeprice_byzip,Median_income,Population,percapitmedianzipprice
265000.0,3.0,2.0,1960.0,0.172,135.20408163265307,174.61556313259152,0.6666666666666666,269900.0,67259.7541,22568.0,11.95941155618575
499999.0,4.0,2.5,3141.0,0.304,159.18465456860872,17.085296221002395,0.625,303970.0,86655.9436,13373.0,22.730127869587974
237990.0,3.0,2.0,1412.0,0.202,168.54815864022663,200.6981569142834,0.6666666666666666,246990.0,55052.9411,23892.0,10.337769964841788
107500.0,3.0,2.0,1100.0,0.304,97.72727272727273,123.11538311652365,0.6666666666666666,159000.0,45882.9925,21585.0,7.366226546212648
499000.0,3.0,3.0,1760.0,0.304,283.52272727272725,199.89492405762243,1.0,175000.0,47278.2781,14220.0,12.306610407876232
219000.0,3.0,3.0,3734.0,1.5,58.65024102838779,277.9487579105364,1.0,337500.0,34723.1723,11992.0,28.14376250833889
228955.0,3.0,2.0,1520.0,0.126,150.62828947368422,13.344105266303558,0.6666666666666666,229477.5,61108.5618,1648.0,139.2460558252427
171900.0,5.0,2.0,1560.0,0.01,110.1923076923077,40.78238166286756,0.4,270000.0,54870.9713,12345.0,21.87120291616039
246990.0,3.0,2.0,1575.0,0.192,156.8190476190476,200.6981569142834,0.6666666666666666,246990.0,55052.9411,23892.0,10.337769964841788
275000.0,3.0,2.0,1390.0,0.224,197.84172661870502,179.83027289970732,0.6666666666666666,142500.0,29531.386,9527.0,14.95748924110423
475000.0,3.0,2.1,2693.0,0.304,176.38321574452283,17.085296221002395,0.7000000000000001,303970.0,86655.9436,13373.0,22.730127869587974
245000.0,3.0,3.0,1850.0,2.0,132.43243243243242,273.9420182051057,1.0,245000.0,34069.2443,1425.0,171.9298245614035
205000.0,3.0,2.0,2082.0,0.531,98.4630163304515,263.7136301037185,0.6666666666666666,147500.0,27286.7768,12457.0,11.840732118487598
255000.0,3.0,2.0,1521.0,0.172,167.65285996055226,19.432667912771667,0.6666666666666666,260565.0,61710.511,41552.0,6.270817289179823
169500.0,3.0,1.0,1095.0,0.167,154.7945205479452,7.103417912538588,0.3333333333333333,199950.0,38239.6412,30184.0,6.624370527431752
399900.0,4.0,2.5,2599.0,0.304,153.8668718737976,156.1685807204809,0.625,599000.0,93962.8744,23280.0,25.730240549828178
329000.0,3.0,2.0,2379.0,0.254,138.29340058848257,15.898997760219626,0.6666666666666666,249990.0,55587.9463,39817.0,6.278474018635256
399000.0,4.0,4.0,3157.0,0.395,126.38580931263859,168.99062271950658,1.0,194950.0,45372.7985,12989.0,15.008853645392255
200000.0,3.0,2.0,1000.0,2.55,200.0,40.32990362960909,0.6666666666666666,237927.5,46720.8647,17744.0,13.408898782687105
295000.0,2.0,2.0,1580.0,20.0,186.70886075949366,88.69146523547175,1.0,295000.0,28247.1282,6253.0,47.177354869662565
187000.0,3.0,2.0,1547.0,0.304,120.87912087912088,19.432667912771667,0.6666666666666666,260565.0,61710.511,41552.0,6.270817289179823
